did,beta_merit,n_posts_analyzed
did:plc:23qaurxayacwiinge7lmfale,11.454959471735506,34
did:plc:23qeqysal63digb5ubffmrvg,0.4042692718804077,1507
did:plc:23qpnx3shcgi3dyfs6jakujc,14.563312353414588,1
did:plc:23qwiudwp5emckzhzr4duqwg,16.542310479188824,5
did:plc:23ri23mxwfkbr6ktwkejtyqz,129.36035912204454,2
did:plc:23rk3tqok5qjuk46ceo25lx6,0.6289847770120796,290
did:plc:23rlomrbsnnukpgskfbaxz3x,8.037272439139695,7
did:plc:23rrhkmw2ehqwtm7wzr46rs3,3.2169049999933903,1
did:plc:23rs7nzgv7fuofoj5gsc2tib,7.079444023673285,5
did:plc:23rykfqtezcnbq4k4jzvpkg3,30.603432218530212,81
did:plc:23s4jo3r2teoalrcxwdkpamg,9.892839774624422,31
did:plc:23sbysipwfpn7bimbt4mcigv,329.3377766717955,17
did:plc:23swmqexsw52ztsur7wpmfuk,24.54726070118315,34
did:plc:23sx7mqiuwdy337i6gf6k75r,0.46571499241807546,1003
did:plc:23tc33rlb7lsuv3hoo5zqxqw,11.317282749235746,6
did:plc:23tdnkbgz6iarbxk3tr4dds6,49.14308841171895,62
did:plc:23tg5xz4hhe5onh3uyb2snvd,283.2407174717848,4
did:plc:23thwxiu66jshdmnfwkjbkaq,28.196821208369006,6
did:plc:23tjefyt2vhs2hqxeiooy4t4,13.934058278544432,807
did:plc:23tlora5pl4dkfheztxlaz55,212.95860815086965,3
did:plc:23towxd4tvgy2ma5lz6edfkn,28.133929415661648,1
did:plc:23tuhhve7n344zadckxvmkal,3.976856038775538,186
did:plc:23uh6llyahtj2jvj6b254psb,9.305747329256317,9
did:plc:23uketbsu4jmysclsfcofwfr,2.8675957555815317,236
did:plc:23ukxwelgcz6x45cn3nkbesk,9.919581821095234,17
did:plc:23uwe5ziojmyopka6jykoh6g,513.7323655143226,5
did:plc:23v5xpezgrppvj7epf4wvcqf,20.63340709506902,12
did:plc:23vdndlj3r7n6pl2j5hqc4wx,43.60601632532607,11
did:plc:23vlvd2urits32zsuh25tcsp,2.766287740426904,1
did:plc:23vq7j5cs2eifvg5qrz2ljse,2.678470040002013,54
did:plc:23vrwzeox3gsyk6vw4srzkcw,5.994599347361172,10
did:plc:23w4asw7ozwut7onm2fpkrqn,1.6872916260039612,1
did:plc:23wcqamftyip4rsktbxdrhqw,735.0509523372253,14
did:plc:23wekvcdvpog7aw6qx4rzp4c,1.3095499961066919,464
did:plc:23wgzd2ttvpk2v23udoekmxp,11.241628366664628,6
did:plc:23wjsvypl7adzladmsjzribh,186.02843344901132,72
did:plc:23wrmm3bsrtasnz6msrfbypg,7.693885218630658,331
did:plc:23wsbbsj6hb7dihy63fruocc,11.462202610486537,6
did:plc:23wufz77rizcgyzcemtlq7q3,90.29727133518624,9
did:plc:23x77qcyzwrhohzlc26ja3f7,9.732902229700404,8
did:plc:23xbbxsjhujplt74mz2lim6b,11.08122911496277,1
did:plc:23xjb5aeghfvfz7ewgcbbajz,31.78088082017929,1
did:plc:23y2i5l64pkln2udnjxtjlov,29.39277181426247,3
did:plc:23yj7kp6b7tqvwil7lxhfbq6,3.041940702770321,617
did:plc:23yvhkbz6nghcgqz2uop5uid,3.13428273097283,31
did:plc:23yygel37rngzepis3lvnhtw,0.6631174672836005,1994
did:plc:23z2pe4lnhusxbag55psjzl7,26.097579470258456,1
did:plc:23z3dumz3tnh4jat377afesb,0.29861442246875464,2
did:plc:23zosj64flqtr6xcnj6dkvr2,1.0803589370893707,140
did:plc:23zwh5cbga32gbcisjlk3b3j,109.33298698729168,18
did:plc:242cyyz232cvtfw6p5wc5acs,2.008064923412358,7
did:plc:242vpfsuvq6rxtieopqkqbwj,2760.5394502942227,13
did:plc:243axqtp74yyvaw4sviqknpg,14.668983860158557,21
did:plc:243gwyfn5l3h5l2zpbe6diln,58.51338219126066,6
did:plc:243jflrwf26pexfbauihzd3g,0.5304517552633154,644
did:plc:243lceb76azggigw7my4vtdm,6.148175064213644,138
did:plc:243rjdl7ukyvk7ituhxvouym,54.59428222466795,4
did:plc:243u7kylj6ewhv5a5o3r243r,119.86981227016894,27
did:plc:243vqxvmkrrbaziiclexobgs,38.796061989608866,3
did:plc:2444wwiqjkcawdm7bzp2ubnw,9.126871974144866,3254
did:plc:244dhc5kw7asrhd7i4li7khx,8.11779866714417,1
did:plc:244mxmy2yqnocx7riuix5554,35.6591514970471,18
did:plc:244nwk4xoeolljnfec43qouu,76.10515442372431,36
did:plc:244rweryfrdebb7wexabbtda,30.034504705755737,211
did:plc:244uhc7spwt2jzm6x5lybivk,28.29896022481912,194
did:plc:2452ncj5rptdxorbvjlrrkd2,7.596523008192908,10
did:plc:245c3ktw7gkhceyatvbxare5,3.088431727011384,1
did:plc:245kmgm5kwfm7vef45qb7y3r,47.97556481222436,100
did:plc:245mjiyeqcjbbdwwqh6rzjeg,1.4222205778432229,251
did:plc:245rengwep3vgrr6iao4cnnd,233.9155471275431,20
did:plc:245ryzg2mvhipesm7odi53s2,76.78268660669673,21
did:plc:245st6hyayrjgj67yhkljquh,18.963002770143646,5
did:plc:245zljxu57hx2czkfwhd4447,0.6145518177898357,766
did:plc:2463iixbgvbij5652bcyi3wy,331.3714471677653,3
did:plc:246i3y35k5cwsjdibwekixfv,58.69731982595813,23
did:plc:246lpwo6dt5rdx45fs5v2acv,37.20495500576459,44
did:plc:246ogevdniydrls65iba7lju,28.3457146975638,135
did:plc:246r3ct3eoap6m72w76sj3xm,64.24920192932011,4
did:plc:246s7yeo7r3ivt76tdqitkrp,19.8873983643107,52
did:plc:247gdcjchxzljmr6y2c65qvn,23.123102999956615,23
did:plc:247okjg2glpkhxejgezxp5gp,5.562413341923372,4454
did:plc:247r4pqjbead3ja4gi6luuqv,88.46596460494808,95
did:plc:247wx7w5uisbbsobqgfsm3gj,0.3339952081503373,2361
did:plc:24an2rigyf5ufzshl563iwwz,28.441693221839603,41
did:plc:24b2qmtyomatv2nd2soa2yd7,1.1803816905628666,124
did:plc:24b2wevqftjdjstafbwdmji2,19.663819797920386,4
did:plc:24boqfbdmte5gchmg6elu6vl,67.8720547224131,161
did:plc:24c6krlzzmv2s4miofabadcv,10.30023691901765,9
did:plc:24c6v4sjk6iipw6xh56kuj67,18.811603461138077,107
did:plc:24chv7tthw3kqt637kj7zcbs,1.5423862129836978,125
did:plc:24d4cy44cmgbukyq2g2fl7j5,230.28509779279372,7
did:plc:24dl2gpt2z3fpqsoukpxzp4k,25.853657869316454,2
did:plc:24dmed4q5367iliqlqvugtq6,20.51365128886889,2
did:plc:24dvnnvkldc55nsgtrmb7gkr,18.425037569811945,413
did:plc:24dzryqenjvpfz3xchhu2tts,0.5728094883690996,375
did:plc:24e3o7fqxhjvylqih3jxduke,42.01527791582049,16
did:plc:24e4nluoqtw2s7utydanwd7c,70.04879556839965,19
did:plc:24e5wguue4ebkjmivdjskh5f,33.245798981896904,50
did:plc:24elwdxlcwb2vlkti2llaibg,279.8590798043943,7
did:plc:24ftt2d7u7ntzckog34htn7e,77.60876215307901,9
did:plc:24fygc4bzcnqfqep33zsu4qr,76.78180083209557,61
did:plc:24g57ulz7cxycflm4scyhxgm,7.084487051314579,301
did:plc:24gehsxphdphqq3usmxumopb,2.756366809530335,26
did:plc:24gm7a3yagd64lnzbawjplpp,897.1191020361323,11
did:plc:24gnswxggdvlapgz5w5ecpo7,1.482128400297226,43
did:plc:24gqbr2yrb5nbdsisr3try3t,4.928976487616228,462
did:plc:24gxr27ibql6xp3mwgvszoqn,0.5705899568480446,1
did:plc:24hbsx4lx3nnufwtndp33omj,1.3484800729683208,212
