did,followers_count,valid_post_count,total_likes,total_reposts,total_replies,mean_X,avg_jump_size,lambda,duration_days,post_count
did:plc:l5diov2xnwt7aadul2g7l4cd,1348,45,200,45,13,20.965841938614933,6.733333333333333,0.2994466809442012,179.9245109722239,2206
did:plc:eluhypc7b2mkhcdviag6etuv,3095,967,10842,1263,860,135.87742214489745,14.407445708376422,6.475356383156131,179.3109333912035,1441
did:plc:qcw4hqkmhnr4nvmp2v3maxzf,486,849,2024,77,282,32.90062694779084,3.806831566548881,5.639316611020261,179.9550920370359,1245
did:plc:x6zn7zyctvsrqn3i2v6yq22d,218,1175,724,10,372,25.389359900752034,1.941276595744681,7.798958371212241,179.94051916666604,1725
did:plc:jyykyhzkgb3vblmsvzbdhj3a,40,597,207,3,42,8.824140578790361,1.4221105527638191,3.9855202693965985,179.7401139583328,858
did:plc:aev2bgj7r3u3hlkkxvsnlxkb,948,1876,8863,248,730,122.33408097343515,6.245735607675906,12.4639879427058,179.95643339120403,3424
did:plc:fdwvgpo6lf77bkacvku5bzkn,233,38,118,1,9,1.7509782034284012,4.368421052631579,0.2557445038225964,171.92649131944333,47
did:plc:wj4mvoeilm4z3lftd7u27jeo,128,16,9,0,3,0.3409306118697413,1.75,0.10516952054429875,173.0976695601863,22
did:plc:7ek3pfbyhtrgs2k5karj4bjm,202,442,590,16,146,16.815843913415822,2.7013574660633486,2.9479815100939684,179.74616491898067,1187
did:plc:4l7jtskaxzv7an43tdpdvw45,53,3492,360,192,19,38.906353582367956,1.1635166093928981,23.27993130264724,179.9640409953699,4158
did:plc:3l5rucizqszbfbt6w2lnyhji,294,909,69,19,4,9.64221060011239,1.1012101210121013,6.059576694149798,179.15894960648208,1089
did:plc:kgralbhlhtwqezlkjx7xhwey,60,644,244,136,175,11.892770438721415,1.8618012422360248,4.301381381523281,179.14475052083256,809
did:plc:bajj2gt4cako3ajeotildvtx,26,19,18,0,7,0.8290225537581951,2.3157894736842106,0.13012901575473307,175.42267187499888,84
did:plc:fhrsfkmscz7bwtqacdhhigql,1094,308,1826,247,254,26.425633474269244,8.555194805194805,2.052639466595388,179.96643809027694,520
did:plc:ldqs6latvmzfi6a2g5bdyg5p,20,1670,56,9,2,16.70892589564358,1.040119760479042,11.16901346127285,179.2500005787059,1966
did:plc:hy7d3gcwiz3gatnmrhqwokud,269,2476,4242,144,1307,79.96460071146882,3.2992730210016155,16.438746794205684,179.9807957175926,3053
did:plc:j334akmveymn5phypi5kdwih,4118,1621,8659,791,623,124.53377390435342,7.214065391733498,10.812019832001333,179.92103644675956,3464
did:plc:niuel7werxcuwfnqmsdd7dgj,1433,607,3572,546,221,53.8685937491942,8.148270181219111,4.031138463759337,179.82522282407515,1468
did:plc:sez3jaoicxmkqbfklrx5syqo,828,1162,3017,111,549,46.6719412934992,4.164371772805508,7.724384887543646,179.97291371527646,1449
